club_code,club_id,web_name,position,tm_pos,now_cost,start_cost
BIR,1,James Beadle,GK,GK,55,55
BIR,1,Ryan Allsop,GK,GK,40,40
BIR,1,Christoph Klarer,DEF,CB,60,60
BIR,1,Dael Fry,DEF,CB,55,55
BIR,1,Kristoffer Lund,DEF,LB,55,55
BIR,1,Bright Osayi-Samuel,DEF,RB,45,45
BIR,1,Phil Neumann,DEF,CB,45,45
BIR,1,Alex Cochrane,DEF,LB,40,40
BIR,1,Ethan Laird,DEF,RB,40,40
BIR,1,Demarai Gray,MID,LW,60,60
BIR,1,Patrick Roberts,MID,RW,60,60
BIR,1,Carlos Vicente,MID,RW,55,55
BIR,1,Jhon Solis,MID,CM,55,55
BIR,1,Kanya Fujimoto,MID,AM,45,45
BIR,1,Marc Leonard,MID,CM,45,45
BIR,1,Seung-ho Paik,MID,CM,45,45
BIR,1,Taylor Gardner-Hickman,MID,DM,45,45
BIR,1,Tomoki Iwata,MID,DM,45,45
BIR,1,August Priske,FWD,CF,75,75
BIR,1,Jay Stansfield,FWD,CF,75,75
BIR,1,Marvin Ducksch,FWD,CF,70,70
BIR,1,Luis Vazquez,FWD,CF,45,45
BLB,2,Balazs Toth,GK,GK,45,45
BLB,2,Aynsley Pears,GK,GK,40,40
BLB,2,Harry Pickering,DEF,LB,45,45
BLB,2,Hayden Carter,DEF,CB,45,45
BLB,2,Ryan Alebiosu,DEF,RB,45,45
BLB,2,Scott Wharton,DEF,CB,45,45
BLB,2,Lewis Miller,DEF,RB,40,40
BLB,2,Sean McLoughlin,DEF,CB,40,40
BLB,2,Tom Atcheson,DEF,CB,40,40
BLB,2,Ryoya Morishita,MID,AM,60,60
BLB,2,Mathias Jorgensen,MID,RW,50,50
BLB,2,Moussa Baradji,MID,CM,50,50
BLB,2,Todd Cantwell,MID,AM,50,50
BLB,2,Axel Henriksson,MID,CM,45,45
BLB,2,Kristi Montgomery,MID,CM,45,45
BLB,2,Oladapo Afolayan,MID,RW,45,45
BLB,2,Sidnei Tavares,MID,DM,45,45
BLB,2,Yuki Ohashi,FWD,CF,65,65
BLB,2,Andri Gudjohnsen,FWD,CF,50,50
BLB,2,Augustus Kargbo,FWD,SS,45,45
BOL,3,David Harrington,GK,GK,40,40
BOL,3,Jack Bonham,GK,GK,40,40
BOL,3,Akin Famewo,DEF,CB,40,40
BOL,3,Ben Davies,DEF,CB,40,40
BOL,3,Eoin Toal,DEF,CB,40,40
BOL,3,Gaizka Larrazabal,DEF,RB,40,40
BOL,3,Luca Stephenson,DEF,RB,40,40
BOL,3,Max Conway,DEF,LB,40,40
BOL,3,David Watson,MID,CM,45,45
BOL,3,Ethan Erhahon,MID,CM,45,45
BOL,3,Joel Randall,MID,AM,45,45
BOL,3,Josh Sheehan,MID,CM,45,45
BOL,3,Kyliane Dong,MID,LW,45,45
BOL,3,Ruben Rodrigues,MID,AM,45,45
BOL,3,Thierry Gale,MID,LW,45,45
BOL,3,Xavier Simons,MID,DM,45,45
BOL,3,John McAtee,FWD,SS,45,45
BOL,3,Ryan Hardie,FWD,CF,45,45
BOL,3,Sam Dalby,FWD,CF,45,45
BRC,4,Sam Tickle,GK,GK,50,50
BRC,4,Brad Collins,GK,GK,40,40
BRC,4,Noah Eile,DEF,CB,55,55
BRC,4,Rob Atkinson,DEF,CB,55,55
BRC,4,Cameron Pring,DEF,LB,45,45
BRC,4,George Tanner,DEF,RB,45,45
BRC,4,Luke McNally,DEF,CB,45,45
BRC,4,Rob Dickie,DEF,CB,40,40
BRC,4,Scott Twine,MID,AM,75,75
BRC,4,Jason Knight,MID,CM,55,55
BRC,4,Jed Wallace,MID,RW,55,55
BRC,4,Max Bird,MID,CM,55,55
BRC,4,Tomi Horvat,MID,RM,55,55
BRC,4,Adam Randell,MID,DM,45,45
BRC,4,Gibson Yah,MID,DM,45,45
BRC,4,Joe Williams,MID,CM,45,45
BRC,4,Sam Greenwood,MID,AM,45,45
BRC,4,Emil Riis,FWD,CF,65,65
BRC,4,Lorent Tolaj,FWD,CF,65,65
BRC,4,Dom Ballard,FWD,CF,55,55
BUR,5,Max Weiss,GK,GK,50,50
BUR,5,Ben Amos,GK,GK,40,40
BUR,5,Bashir Humphreys,DEF,CB,65,65
BUR,5,Hjalmar Ekdal,DEF,CB,55,55
BUR,5,Walker,DEF,,55,55
BUR,5,Joe Worrall,DEF,CB,50,50
BUR,5,Oliver Sonne,DEF,RB,50,50
