# club_code|name|tm_pos|market_value_k
BIR|James Beadle|GK|6000
BIR|Ryan Allsop|GK|600
BIR|Christoph Klarer|CB|7000
BIR|Dael Fry|CB|4000
BIR|Kristoffer Lund|LB|4000
BIR|Bright Osayi-Samuel|RB|4000
BIR|Phil Neumann|CB|2500
BIR|Alex Cochrane|LB|2500
BIR|Ethan Laird|RB|2500
BIR|Carlos Vicente|RW|7000
BIR|Jhon Solis|CM|4500
BIR|Patrick Roberts|RW|4000
BIR|Demarai Gray|LW|3500
BIR|Taylor Gardner-Hickman|DM|2000
BIR|Tomoki Iwata|DM|2000
BIR|Seung-ho Paik|CM|2000
BIR|Marc Leonard|CM|2000
BIR|Kanya Fujimoto|AM|2000
BIR|Jay Stansfield|CF|18000
BIR|August Priske|CF|7000
BIR|Luis Vazquez|CF|2500
BIR|Marvin Ducksch|CF|1500
BLB|Aynsley Pears|GK|1000
BLB|Balazs Toth|GK|1000
BLB|Hayden Carter|CB|2000
BLB|Harry Pickering|LB|2000
BLB|Ryan Alebiosu|RB|1500
BLB|Scott Wharton|CB|1300
BLB|Lewis Miller|RB|1200
BLB|Tom Atcheson|CB|800
BLB|Sean McLoughlin|CB|750
BLB|Mathias Jorgensen|RW|3500
BLB|Todd Cantwell|AM|2500
BLB|Moussa Baradji|CM|2000
BLB|Ryoya Morishita|AM|2000
BLB|Sidnei Tavares|DM|1800
BLB|Oladapo Afolayan|RW|1300
BLB|Axel Henriksson|CM|1000
BLB|Kristi Montgomery|CM|800
BLB|Andri Gudjohnsen|CF|2800
BLB|Yuki Ohashi|CF|1700
BLB|Augustus Kargbo|SS|1000
BOL|Jack Bonham|GK|225
BOL|David Harrington|GK|150
BOL|Gaizka Larrazabal|RB|4000
BOL|Luca Stephenson|RB|1000
BOL|Ben Davies|CB|800
BOL|Akin Famewo|CB|800
BOL|Eoin Toal|CB|800
BOL|Max Conway|LB|450
BOL|David Watson|CM|2000
BOL|Kyliane Dong|LW|900
BOL|Xavier Simons|DM|800
BOL|Ethan Erhahon|CM|750
BOL|Thierry Gale|LW|550
BOL|Joel Randall|AM|500
BOL|Ruben Rodrigues|AM|450
BOL|Josh Sheehan|CM|400
BOL|Sam Dalby|CF|1000
BOL|Ryan Hardie|CF|800
BOL|John McAtee|SS|400
BRC|Sam Tickle|GK|1200
BRC|Brad Collins|GK|900
BRC|Noah Eile|CB|4000
BRC|Rob Atkinson|CB|2500
BRC|George Tanner|RB|2500
BRC|Luke McNally|CB|2000
BRC|Cameron Pring|LB|2000
BRC|Rob Dickie|CB|1500
BRC|Scott Twine|AM|14000
BRC|Jason Knight|CM|7000
BRC|Tomi Horvat|RM|4000
BRC|Adam Randell|DM|3000
BRC|Max Bird|CM|2500
BRC|Sam Greenwood|AM|2000
BRC|Gibson Yah|DM|1300
BRC|Jed Wallace|RW|1200
BRC|Joe Williams|CM|800
BRC|Emil Riis|CF|6000
BRC|Dom Ballard|CF|2000
BRC|Lorent Tolaj|CF|1500
BUR|Max Weiss|GK|4000
BUR|Ben Amos|GK|50
BUR|Bashir Humphreys|CB|12000
BUR|Hjalmar Ekdal|CB|5000
BUR|Lucas Pires|LB|4000
BUR|Oliver Sonne|RB|4000
BUR|Joe Worrall|CB|2000
BUR|Jordan Beyer|CB|1500
BUR|Connor Roberts|RB|1500
BUR|Hannibal|AM|15000
BUR|Aaron Ramsey|AM|6000
BUR|Marcus Edwards|RW|6000
BUR|Josh Cullen|CM|4000
BUR|Jacob Bruun Larsen|LW|4000
BUR|Ugo Raghouber|DM|3000
BUR|Mike Tresor|AM|2000
BUR|Josh Laurent|CM|1500
BUR|Zian Flemming|CF|12000
BUR|Lyle Foster|CF|8000
BUR|Zeki Amdouni|CF|7000
BUR|Armando Broja|CF|5000
CAR|Nathan Trott|GK|1500
CAR|Harry Tyrer|GK|400
CAR|Dylan Lawlor|CB|1800
CAR|Gabriel Osho|CB|1200
CAR|Perry Ng|RB|1200
CAR|Ronan Kpakio|RB|1200
CAR|Joel Bagan|LB|1000
CAR|Calum Chambers|CB|900
CAR|David Turnbull|CM|2000
CAR|Rubin Colwill|AM|2000
CAR|Alex Robertson|CM|1500
CAR|Cian Ashford|RW|1500
CAR|Chris Willock|LW|1200
CAR|Ollie Tanner|RW|1200
CAR|Isaak Davies|LW|1000
CAR|Joel Colwill|AM|900
CAR|Yousef Salech|CF|3800
CAR|Roko Simic|CF|1500
CAR|Kion Etete|CF|750
CAR|Callum Robinson|CF|700
CHA|Thomas Kaminski|GK|1000
CHA|Will Mannion|GK|400
CHA|Danny McNamara|RB|1500
CHA|Lloyd Jones|CB|1200
CHA|Reece Burke|CB|1000
CHA|Kayne Ramsay|RB|1000
CHA|Joe Rankin-Costello|RB|1000
CHA|Amari'i Bell|CB|800
CHA|Sonny Carey|AM|4000
CHA|Conor Coventry|DM|2000
CHA|Rob Apter|RW|2000
CHA|Harvey Knibbs|AM|1500
CHA|Tyreece Campbell|LW|1500
CHA|Millenic Alli|LW|1500
CHA|Timothy Ouma|DM|1000
CHA|Greg Docherty|CM|800
CHA|Charlie Kelman|CF|2500
CHA|Karlan Grant|CF|1800
CHA|Miles Leaburn|CF|800
DER|Jacob Widell Zetterstrom|GK|2500
DER|Josh Vickers|GK|150
DER|Sondre Langas|CB|4000
DER|Max Johnston|RB|3000
DER|Dion Sanderson|CB|2800
DER|Matt Clarke|CB|2000
DER|Derry Murkin|LB|1500
DER|Charlie Taylor|LB|1200
DER|Ryan Nyambe|RB|800
DER|Bobby Clark|CM|8000
DER|Sammie Szmodics|AM|3500
DER|Filip Bilbija|LW|3000
DER|Oscar Fraulo|CM|2500
DER|Lewis Travis|DM|1800
DER|Kenzo Goudmijn|CM|700
DER|Joe Ward|RM|600
DER|Corey Blackett-Taylor|LW|450
DER|Patrick Agyemang|CF|10000
DER|Carlton Morris|CF|4500
DER|Rhian Brewster|CF|2500
LIN|Joe Gauci|GK|1200
LIN|George Wickens|GK|1000
LIN|Andrei Coubis|CB|1200
LIN|Ryley Towler|CB|600
LIN|Tom Hamer|CB|600
LIN|Callum Elder|LB|400
LIN|Adam Reach|LB|350
LIN|Josh Honohan|LB|250
LIN|Ivan Varfolomeev|DM|700
LIN|Tom Bayliss|CM|550
LIN|Reeco Hackett|RW|550
LIN|Ben House|LW|500
LIN|Conor McGrandles|CM|400
LIN|Dom Jefferies|RM|250
LIN|Mason Melia|CF|1000
LIN|Tanto Olaofe|CF|550
LIN|Freddie Draper|CF|550
MID|Sol Brynn|GK|9000
MID|Radek Vitek|GK|6000
MID|Adilson Malanda|CB|8000
MID|Callum Brittain|RB|7000
MID|Alfie Jones|CB|6000
MID|Neto Borges|LB|2500
MID|Alex Bangura|LB|700
MID|George Edmundson|CB|600
MID|Morgan Whittaker|RW|18000
MID|Aidan Morris|CM|10000
MID|Sebastian Berhalter|CM|8000
MID|Abdoulaye Kante|DM|5000
MID|Jeremy Sarmiento|LW|5000
MID|Max Arfsten|LW|5000
MID|Riley McGree|CM|3500
MID|Sontje Hansen|RW|3500
MID|Tommy Conway|CF|14000
MID|David Strelec|CF|8000
MID|Will Lankshear|CF|7000
MID|Kyle Joseph|CF|6000
MIL|Max Crocombe|GK|1000
MIL|Lukas Jensen|GK|700
MIL|Tristan Crama|CB|12000
MIL|Caleb Taylor|CB|5000
MIL|Zak Sturge|LB|4000
MIL|Jake Cooper|CB|1800
MIL|Ryan Leonard|RB|250
MIL|Elkan Baggott|CB|200
MIL|Femi Azeez|RM|15000
MIL|Camiel Neghli|RW|5500
MIL|Alfie Doughty|LM|5000
MIL|Mathis Servais|AM|4000
MIL|Luke Cundle|CM|3200
MIL|Casper De Norre|DM|2000
MIL|Mark Sykes|RM|1800
MIL|Derek Mazou-Sacko|CM|1000
MIL|Mihailo Ivanovic|CF|9000
MIL|Josh Coburn|CF|7000
MIL|Tairyk Arconte|CF|3000
MIL|Lyndon Dykes|CF|800
NOR|Vladan Kovacevic|GK|2500
NOR|Daniel Grimshaw|GK|500
NOR|Jose Cordoba|CB|5000
NOR|Darlin Yongwa|LB|5000
NOR|Harry Darling|CB|4000
NOR|Ruairi McConville|CB|3000
NOR|Kellen Fisher|RB|3000
NOR|Ben Chrisene|LB|2000
NOR|Jack Stacey|RB|1800
NOR|Oscar Schwartau|AM|7000
NOR|Andre Brooks|CM|6000
NOR|Ali Ahmed|LM|5000
NOR|Matej Jurasek|RW|4500
NOR|Mirko Topic|DM|4000
NOR|Pelle Mattsson|CM|4000
NOR|Anis Ben Slimane|AM|4000
NOR|Papa Amadou Diallo|LW|4000
NOR|Sam Field|DM|2500
NOR|Jovon Makama|CF|8000
NOR|Mohamed Toure|CF|8000
NOR|Mathias Kvistgaarden|CF|6000
NOR|Ante Crnac|CF|4500
POR|Nicolas Schmid|GK|2000
POR|Josef Bursik|GK|800
POR|Terry Devlin|RB|4000
POR|Hayden Matthews|CB|1300
POR|Zak Swanson|RB|1200
POR|Regan Poole|CB|1000
POR|Josh Knight|CB|800
POR|Conor Shaughnessy|CB|800
POR|Adrian Segecic|RW|4500
POR|Abu Kamara|RW|2500
POR|Rocco Shein|CM|2300
POR|Josh Murphy|LW|1500
POR|Mark Kosznovszky|CM|1000
POR|Luke Le Roux|CM|800
POR|John Swift|AM|800
POR|Ebou Adams|CM|700
POR|Marko Milovanovic|CF|2500
POR|Colby Bishop|CF|1200
POR|Thomas Waddingham|CF|500
PRE|Daniel Iversen|GK|2500
PRE|Lee Nicholls|GK|400
PRE|Thierry Small|LB|7000
PRE|Jordan Storey|CB|4500
PRE|Lewis Gibson|CB|2500
PRE|Odeluga Offiah|CB|2500
PRE|Liam Lindsay|CB|1000
PRE|Pol Valentin|RB|600
PRE|Brad Potts|RB|600
PRE|Alfie Devine|AM|8000
PRE|Delano Burgzorg|LW|3000
PRE|Callum Lang|RW|2500
PRE|Ali McCann|CM|2200
PRE|Andrew Moran|AM|1500
PRE|Jordan Thompson|CM|700
PRE|Kitt Nelson|AM|150
PRE|Milutin Osmajic|CF|3000
PRE|Jusef Erabi|CF|2000
QPR|Pierce Charles|GK|900
QPR|Calum Ward|GK|800
QPR|Dennis Cirkin|LB|6000
QPR|Jimmy Dunne|CB|5000
QPR|Ronnie Edwards|CB|5000
QPR|Esquerdinha|LB|3000
QPR|Tariq Lamptey|RB|3000
QPR|Amadou Mbengue|CB|2500
QPR|Jake Clarke-Salter|CB|800
QPR|Nicolas Madsen|CM|5000
QPR|Ilias Chair|AM|5000
QPR|Harvey Vale|RM|4000
QPR|Koki Saito|LW|3200
QPR|Jonathan Varane|DM|2500
QPR|Glen Kamara|CM|2000
QPR|Karamoko Dembele|AM|2000
QPR|Kieran Morgan|CM|1500
QPR|Paul Smyth|RW|800
QPR|Richard Kone|CF|8000
QPR|Rumarn Burrell|CF|6000
QPR|Rayan Kolli|CF|2000
SHU|Michael Cooper|GK|10000
SHU|Ivo Grbic|GK|1000
SHU|Harrison Burrows|LB|10000
SHU|Mark McGuinness|CB|7000
SHU|Japhet Tanganga|CB|6000
SHU|Femi Seriki|RB|5000
SHU|Nils Zatterstrom|CB|3500
SHU|Rhys Norrington-Davies|LB|2500
SHU|Sam McCallum|LB|2000
SHU|Matt Doherty|RB|1000
